Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,987876.9934773037,258.56596469339104,487.39938675118185,49.09795095678104,11327.943220294961,0.25671289800841146
2.0,980771.0183588258,387.7251470219241,503.05135712314353,98.42002410787754,18239.785112921134,0.15113189234809246
3.0,976645.2424335802,502.1094703223722,540.1925929443092,150.42098715945627,22162.034515993637,0.08363717347499956
4.0,974302.1315050668,611.6109018893297,594.9662645443448,207.04097181668084,24284.250356682827,0.04452853404336395
5.0,972945.6886335996,723.1305613276684,665.4714696016058,269.93444980725087,25395.774885663835,0.02317785229905999
6.0,972093.8024472452,841.8231488517711,751.1063127195731,340.637507646551,25972.630583536713,0.011852334834499462
7.0,971491.0460634783,971.7765675936156,852.2158782360301,420.67091171797574,26264.290578973847,0.006028183029883985
8.0,970989.5251336718,1116.5816918810183,969.818039461636,511.62919225155576,26412.445942733844,0.0030402354397883642
9.0,970512.5739307208,1279.600508535882,1105.4975139887017,615.2365199249758,26487.091526829427,0.0015219833004126698
10.0,970016.7926036853,1464.205659762536,1261.3264954058634,733.3998283208398,26524.275412825322,0.000786464531794247
11.0,969467.6504194849,1673.9475152685163,1439.8346012638851,868.2571369914509,26550.310326991064,0.0007959717531653678
12.0,968843.6100006411,1912.6665711511325,1644.0144335183986,1022.2221907493793,26577.48680393982,0.0008003507705557208
13.0,968135.253370043,2184.606680568533,1877.3411843204346,1198.0309770827448,26604.767787985096,0.0008088311199283818
14.0,967330.6069894298,2494.5127086365865,2143.8147945651044,1398.795099998437,26632.27040736985,0.0008147082534668263
15.0,966416.327755378,2847.7056789994313,2448.0108266804536,1628.0507207739454,26659.90501816798,0.0008180979422986376
16.0,965377.2478087594,3250.1886090769704,2795.1490456270567,1889.8279306986524,26687.5866058376,0.0008191666745737163
17.0,964196.1720212924,3708.7195897742035,3191.163020737813,2188.709087933285,26715.23628026211,0.0008181302273506825
18.0,962853.5920171731,4230.918132857433,3642.7937703760745,2529.9130382062394,26742.783041386927,0.0008152514656035473
