Age,Gender,mRNA/ mRNA/ mRNA,mRNA/ mRNA/ inactivated,inactivated/ inactivated/ mRNA,inactivated/ inactivated/ inactivated
0,F,39,0,10,72
0,M,28,0,11,92
1,F,103,0,50,428
1,M,114,0,57,394
2,F,36,0,76,625
2,M,54,0,89,669
3,F,27,0,127,3864
3,M,34,0,183,4075
4,F,23,0,134,5839
4,M,15,0,106,6434
5,F,11,2,201,6910
5,M,14,3,177,7340
6,F,15,10,75,7649
6,M,13,13,92,8425
7,F,26,14,73,8448
7,M,21,10,84,9283
8,F,26,16,83,8955
8,M,24,12,87,9448
9,F,21,12,80,9666
9,M,28,22,100,10343
10,F,31,35,107,10431
10,M,32,29,142,11211
11,F,43,43,130,10201
11,M,45,40,144,11163
12,F,9177,684,611,9411
12,M,9496,758,729,10285
13,F,15678,1907,136,3771
13,M,16007,1962,153,4285
14,F,15964,1800,80,2840
14,M,16764,1900,136,3146
15,F,15703,1565,102,2184
15,M,16344,1690,115,2533
16,F,15590,1383,67,1731
16,M,16328,1391,85,1967
17,F,16427,1174,72,1374
17,M,16701,1236,85,1642
18,F,18907,912,327,1738
18,M,19552,971,374,2205
19,F,16105,406,986,2481
19,M,16719,469,861,3012
20,F,16107,402,838,2140
20,M,16878,431,920,2746
21,F,18188,401,952,2283
21,M,19431,451,1000,3234
22,F,17965,418,853,2264
22,M,18898,456,1007,3195
23,F,18921,480,1079,2834
23,M,19332,450,1196,3534
24,F,21651,532,1296,3372
24,M,20987,508,1396,3951
25,F,25007,639,1648,4033
25,M,23526,556,1555,4635
26,F,27400,737,1784,4718
26,M,25139,591,1712,5104
27,F,28903,788,1880,5049
27,M,26681,639,1875,5342
28,F,29560,813,1974,5530
28,M,26229,701,1812,5322
29,F,31307,919,2094,6195
29,M,26695,729,1871,5687
30,F,32140,984,2101,6816
30,M,26829,768,1876,6095
31,F,32487,1025,2396,7491
31,M,26590,731,2021,6555
32,F,33731,1122,2540,8477
32,M,27044,774,2193,7004
33,F,36041,1201,2749,9558
33,M,28979,811,2343,7529
34,F,35350,1234,2857,10454
34,M,26848,811,2276,7642
35,F,35820,1263,3124,11187
35,M,26268,834,2209,7792
36,F,36917,1339,3260,12697
36,M,26916,815,2470,8253
37,F,37576,1358,3690,13406
37,M,26861,916,2292,8457
38,F,39601,1451,3814,14658
38,M,27421,920,2534,8955
39,F,40237,1428,4292,16361
39,M,28033,932,2820,9966
40,F,39515,1447,4455,16942
40,M,27840,937,2836,10218
41,F,38257,1461,4405,16789
41,M,26418,887,2748,10199
42,F,37449,1332,4849,18435
42,M,25516,858,3128,10999
