Day,Susceptible,Exposed,Infected,Recovered,Vaccinated,Willingness
0.0,999400.0,100.0,500.0,0.0,0.0,0.4
1.0,998557.368702676,259.6895225637736,487.4322476315235,49.10894025015527,646.4005868785925,0.2525771009221477
2.0,997970.6335235737,391.2017549747362,503.566757488215,98.44012489477262,1036.1578390686107,0.14509476840596366
3.0,997546.0116949982,508.9531785474011,541.6301221032882,150.53495073057053,1252.870053620611,0.07786954459970227
4.0,997205.7292818394,622.5402552637737,597.9522378052447,207.3707850523932,1366.4074400392292,0.03999829140178558
5.0,996895.7340400697,738.9365136596465,670.706621284256,270.67025207016627,1423.9525729161933,0.01996473299707009
6.0,996582.6740562707,863.4300548580311,759.3976000275693,342.0422483410149,1452.4560405026784,0.00976138444655544
7.0,996245.8570021169,1000.3411364223354,864.4829120591029,423.09534663951115,1466.2236027623053,0.004729017123943812
8.0,995870.9452809835,1153.5120360465332,987.1386873901314,515.523384871014,1472.8806107089847,0.0022580199759956107
9.0,995447.0366964092,1326.6048826508595,1129.1436749569787,621.1675012239452,1476.0472447590826,0.001065727522442726
10.0,994964.2490967509,1523.3414423279442,1292.8064043826564,742.0735099035677,1477.5295466350174,0.0005002168697952859
11.0,994412.6163759916,1747.6739783180096,1480.9429879771394,880.5438872523522,1478.222770460941,0.00023238580301085713
12.0,993781.4615172883,2003.9174529155832,1696.8874935659117,1039.1885286545557,1478.5450075757203,0.0001063205157745875
13.0,993058.946854004,2296.863748402285,1944.5224235755695,1220.977125890132,1478.6898481280573,4.897248906254363e-05
14.0,992231.7241361511,2631.8926353507763,2228.3276661066234,1429.298019883928,1478.7575425076977,2.183057584951482e-05
15.0,991284.6803267869,3015.0679322588976,2553.4459394033756,1668.0192639661136,1478.7865375847582,1.0071157333644013e-05
16.0,990200.6320368621,3453.248466834819,2925.7586655200575,1941.5600471608445,1478.8007836222364,4.214385740271834e-06
17.0,988960.0631182527,3954.1854168310883,3351.979320491056,2254.9666985454655,1478.8054458797735,2.2865695007289423e-06
18.0,987540.7605341687,4526.665301304619,3839.754309398531,2614.010662398748,1478.8091927294681,6.987618155405835e-07
19.0,985917.5933133354,5180.561298452441,4397.776283396481,3025.2591461722695,1478.8099586434355,3.785375616617801e-07
20.0,984061.9826587242,5927.050138252199,5035.926094307851,3496.2314344644456,1478.8096742513796,5.706748365522342e-07
21.0,981941.631378243,6778.691315266309,5765.381421268716,4035.4856449050235,1478.810240317106,-1.366842589392171e-07
22.0,979520.0673441765,7749.544788316597,6598.806420150765,4652.771672174031,1478.809775182246,5.108042348393315e-07
23.0,976756.1824787314,8855.330856309356,7550.489785327112,5359.1868522976865,1478.8100273345146,1.6644703239036354e-07
24.0,973603.783611546,10113.538585796554,8636.52197819597,6167.345789424752,1478.8100350367574,1.579794779473316e-07
25.0,970011.117334936,11543.531601253306,9874.970735748502,7091.56930813119,1478.8110199310195,-1.2186618515062475e-06
26.0,965920.4128300481,13166.627470165358,11286.057597343057,8148.092081782967,1478.8100206605154,1.7814202085941805e-07
27.0,961267.4493752825,15006.127019371195,12892.329345826647,9355.284403771648,1478.8098557480569,4.171689855407603e-07
28.0,955981.1827543129,17087.299328970625,14718.812547989683,10733.895352835296,1478.8100158916193,1.908220135031766e-07
29.0,949983.4738222776,19437.266899708495,16793.143692419693,12307.30576158716,1478.8098240072043,4.7309229567484065e-07
30.0,943188.951954126,22084.78883000556,19145.655078254917,14101.79366900733,1478.8104686063477,-4.6573992920471033e-07
31.0,935505.0809410919,25059.90451080362,21809.395382729846,16146.808004349847,1478.8111610249027,-1.501506055820908e-06
32.0,926832.5128139574,28393.375690369205,24820.066904401207,18475.23442480149,1478.810166470856,-2.6083177254712035e-08
33.0,917065.7656716497,32115.929414345366,28215.839211689956,21123.65565009322,1478.8100522219463,1.481970800912764e-07
34.0,906094.3930123838,36257.205104690445,32037.01103615035,24132.581163454928,1478.8096833205636,7.266866685796398e-07
35.0,893804.6836019139,40844.39492389914,36325.47785503448,27546.63406770365,1478.80955144903,9.630251877263989e-07
36.0,880082.015536596,45900.54244111214,41123.953798980365,31414.67630065496,1478.8119226567278,-2.8411852175523727e-06
37.0,864813.991529161,51442.46105899336,46474.89553707369,35789.84094396767,1478.8109308043654,-1.279179755753906e-06
38.0,847894.3724478707,57478.25172231551,52419.12983950431,40729.435513126926,1478.8104771826745,-5.488624472698729e-07
39.0,829227.8933342319,64004.52952048691,58994.06933259127,46294.697723078985,1478.8100896110861,1.0629225567149205e-07
